51,Pumpkin,2,501,5000
52,Pear,1,502,5001
53,Peach,1,503,5002
54,Cherry,1,504,5003
55,Blueberry,1,505,5004
56,Raspberry,1,506,5005
57,Kiwi,1,507,5006
58,Lime,1,508,5007
59,Coconut,1,509,5008
60,Pistachio,7,510,5009
61,Barley,3,511,5010
62,Sesame Seeds,7,512,5011
63,Sunflower Seeds,7,513,5012
64,Pumpkin Seeds,7,514,5013
65,Flaxseed Oil,12,515,5014
66,Olive Oil,12,516,5015
67,Coconut Oil,12,517,5016
68,Avocado Oil,12,518,5017
69,Grape Seed Oil,12,519,5018
70,Soybean Oil,12,520,5019
71,"Rice (white, cooked)",3,521,5020
72,Pasta (cooked),3,522,5021
73,Bread (white),6,523,5022
74,Corn Flakes,3,524,5023
75,Oatmeal (instant),3,525,5024
76,Yogurt (Greek),5,526,5025
77,Cheese (mozzarella),5,527,5026
78,Beef (ground),4,528,5027
79,Pork (loin),4,529,5028
80,Lamb (leg),4,530,5029
81,Shrimp,4,531,5030
82,Salmon (wild),4,532,5031
83,Tuna (albacore),4,533,5032
84,Cod,4,534,5033
85,Chicken (dark meat),4,535,5034
86,Pork (chop),4,536,5035
87,Lamb (chop),4,537,5036
88,Tofu (firm),4,538,5037
89,Tempeh,4,539,5038
90,Seitan,4,540,5039
91,Apple Juice,8,541,5040
92,Orange Juice,8,542,5041
93,Grape Juice,8,543,5042
94,Tomato Juice,8,544,5043
95,Coconut Milk (full fat),5,545,5044
96,Almond Milk (unsweetened),5,546,5045
97,Soy Milk (unsweetened),5,547,5046
98,Rice Milk (unsweetened),5,548,5047
99,Oat Milk (unsweetened),5,549,5048
100,Pea Milk (unsweetened),5,550,5049
